LTCBNB,190,269.5722616082849
TNBBTC,191,165.10684572610836
TNBETH,192,nan
WAVESBTC,193,149.90831465039864
WAVESETH,194,113.86231857907113
WAVESBNB,195,225.15722915457178
GTOBTC,196,156.29899857201644
GTOETH,197,nan
GTOBNB,198,nan
ICXBTC,199,236.550221491641
ICXETH,200,169.06082472655373
ICXBNB,201,610.5936694416872
OSTBTC,202,145.5054088442793
OSTETH,203,97.83958981854049
OSTBNB,204,nan
ELFBTC,205,247.2422230226758
ELFETH,206,140.10972399083806
AIONBTC,207,239.3988424266498
AIONETH,208,157.65600392882337
AIONBNB,209,nan
NEBLBTC,210,92.50259195817527
NEBLETH,211,73.3898457734592
NEBLBNB,212,nan
BRDBTC,213,198.9617050595283
BRDETH,214,136.21582947997493
BRDBNB,215,nan
MCOBNB,216,nan
EDOBTC,217,nan
EDOETH,218,nan
WINGSBTC,219,nan
WINGSETH,220,nan
NAVBTC,221,209.75686179446026
NAVETH,222,434.37689271267567
NAVBNB,223,nan
LUNBTC,224,nan
LUNETH,225,nan
TRIGBTC,226,nan
TRIGETH,227,nan
TRIGBNB,228,nan
APPCBTC,229,230.59218354376614
APPCETH,230,nan
APPCBNB,231,nan
VIBEBTC,232,284.22643290436156
VIBEETH,233,nan
RLCBTC,234,237.90723143003356
RLCETH,235,169.74242670231996
RLCBNB,236,nan
INSBTC,237,nan
INSETH,238,nan
PIVXBTC,239,213.79489578930927
PIVXETH,240,155.42439559195674
PIVXBNB,241,nan
IOSTBTC,242,229.78188618050868
IOSTETH,243,143.59863119652474
CHATBTC,244,nan
CHATETH,245,nan
STEEMBTC,246,243.6209639077581
STEEMETH,247,134.0568562418552
STEEMBNB,248,351.06135863907235
NANOBTC,249,101.78329237144649
NANOETH,250,214.44914106003992
NANOBNB,251,nan
VIABTC,252,237.25431150021882
VIAETH,253,nan
VIABNB,254,nan
BLZBTC,255,216.81289630750143
BLZETH,256,162.0766183125106
BLZBNB,257,470.54167780291465
AEBTC,258,nan
AEETH,259,nan
AEBNB,260,nan
RPXBTC,261,nan
RPXETH,262,nan
RPXBNB,263,nan
NCASHBTC,264,nan
NCASHETH,265,92.3409663324113
NCASHBNB,266,nan
POABTC,267,198.38821199904302
POAETH,268,nan
POABNB,269,nan
ZILBTC,270,122.44007422465386
ZILETH,271,93.71847174034293
ZILBNB,272,159.53898624835088
ONTBTC,273,359.8802230703202
ONTETH,274,196.05068320175667
ONTBNB,275,686.5906400495642
STORMBTC,276,nan
STORMETH,277,nan
STORMBNB,278,nan
QTUMBNB,279,nan
QTUMUSDT,280,345.61582965196607
XEMBTC,281,155.359177979593
XEMETH,282,114.23704793938954
XEMBNB,283,nan
WANBTC,284,195.72261597339076
WANETH,285,130.14680994154216
WANBNB,286,339.17791819448337
WPRBTC,287,239.8755810707369
WPRETH,288,nan
QLCBTC,289,182.14723403345207
QLCETH,290,119.43096974462388
SYSBTC,291,399.20587756539567
SYSETH,292,nan
SYSBNB,293,nan
QLCBNB,294,nan
GRSBTC,295,240.18536991962273
GRSETH,296,nan
ADAUSDT,297,194.9504758376629
ADABNB,298,344.9889755012159
CLOAKBTC,299,nan
CLOAKETH,300,nan
GNTBTC,301,nan
GNTETH,302,nan
GNTBNB,303,nan
LOOMBTC,304,204.5783514409846
LOOMETH,305,117.81309686954849
LOOMBNB,306,nan
XRPUSDT,307,502.60877577312397
BCNBTC,308,nan
BCNETH,309,nan
BCNBNB,310,nan
REPBTC,311,245.08856979121242
REPETH,312,148.14603661698862
REPBNB,313,nan
BTCTUSD,314,261.2305751029889
TUSDBTC,315,nan
ETHTUSD,316,124.0873293697097
TUSDETH,317,nan
TUSDBNB,318,nan
ZENBTC,319,235.00552285641695
ZENETH,320,163.56456135324916
ZENBNB,321,266.28542164696734
SKYBTC,322,246.50214103041597
SKYETH,323,nan
SKYBNB,324,nan
EOSUSDT,325,369.55920215973197
EOSBNB,326,934.8678899766576
CVCBTC,327,256.3746194733231
CVCETH,328,152.36934582044043
CVCBNB,329,nan
THETABTC,330,286.53233619074155
THETAETH,331,126.80875913915996
THETABNB,332,209.49144819522957
XRPBNB,333,326.57118385046124
TUSDUSDT,334,18469.109481495478
IOTAUSDT,335,458.87978441736993
XLMUSDT,336,412.385860827395
IOTXBTC,337,242.67205871085886
IOTXETH,338,149.06362323193258
QKCBTC,339,284.85483631401985
QKCETH,340,147.06991936328927
AGIBTC,341,223.1216547630927
AGIETH,342,nan
AGIBNB,343,nan
NXSBTC,344,260.7481145605332
NXSETH,345,nan
NXSBNB,346,nan
ENJBNB,347,527.1323038903063
DATABTC,348,221.4809439014312
DATAETH,349,145.91993699971914
ONTUSDT,350,348.2624868534027
TRXBNB,351,935.3457642088221
TRXUSDT,352,343.1818615505395
ETCUSDT,353,210.4944364876624
ETCBNB,354,379.5679448607586
ICXUSDT,355,407.56215798370755
SCBTC,356,116.87844123156263
SCETH,357,95.50547857851957
SCBNB,358,89.75490103978404
NPXSBTC,359,nan
NPXSETH,360,159.05477379289024
VENUSDT,361,nan
KEYBTC,362,nan
KEYETH,363,147.79853983897362
NASBTC,364,272.1764146421963
NASETH,365,161.62676083241587
NASBNB,366,nan
MFTBTC,367,nan
MFTETH,368,123.09903143957861
MFTBNB,369,287.10800511345343
DENTBTC,370,nan
DENTETH,371,199.34000801322154
ARDRBTC,372,197.34697990889254
ARDRETH,373,nan
ARDRBNB,374,nan
NULSUSDT,375,597.654516203579
HOTBTC,376,81.88020140019077
HOTETH,377,145.6883756793643
VETBTC,378,185.46341173138813
VETETH,379,439.8322281405587
VETUSDT,380,137.1408607186849
VETBNB,381,205.38958844167345
DOCKBTC,382,221.28707635171318
DOCKETH,383,nan
POLYBTC,384,186.01597352059682
POLYBNB,385,nan
PHXBTC,386,nan
PHXETH,387,nan
PHXBNB,388,nan
HCBTC,389,nan
HCETH,390,nan
GOBTC,391,224.45381363327374
GOBNB,392,nan
PAXBTC,393,nan
PAXBNB,394,nan
PAXUSDT,395,18385.414455164406
PAXETH,396,nan
RVNBTC,397,364.3065883984483
RVNBNB,398,860.5879698663883
DCRBTC,399,576.2259566646169
DCRBNB,400,nan
USDCBNB,401,nan
MITHBTC,402,81.23473953252902
MITHBNB,403,96.158534356179
BCHABCBTC,404,nan
BCHSVBTC,405,nan
BCHABCUSDT,406,nan
BCHSVUSDT,407,nan
BNBPAX,408,406.619694302409
BTCPAX,409,261.112447058934
ETHPAX,410,124.14459560144579
XRPPAX,411,478.7099638563388
EOSPAX,412,nan
XLMPAX,413,nan
RENBTC,414,220.49460760892205
RENBNB,415,nan
BNBTUSD,416,418.0084637034851
XRPTUSD,417,492.22195770801125
EOSTUSD,418,367.02862212208873
XLMTUSD,419,nan
BNBUSDC,420,419.901347478445
BTCUSDC,421,261.33815082709555
ETHUSDC,422,124.0953944056196
XRPUSDC,423,494.7697965702141
EOSUSDC,424,369.22773870136604
XLMUSDC,425,nan
USDCUSDT,426,18357.950255280626
ADATUSD,427,195.10523195289687
TRXTUSD,428,345.51351092589914
NEOTUSD,429,nan
TRXXRP,430,304.14886198286325
XZCXRP,431,nan
PAXTUSD,432,nan
USDCTUSD,433,nan
USDCPAX,434,nan
LINKUSDT,435,209.21640346025148
LINKTUSD,436,208.97584494040666
LINKPAX,437,nan
LINKUSDC,438,209.2923705951953
WAVESUSDT,439,287.5758696065053
WAVESTUSD,440,nan
WAVESPAX,441,nan
WAVESUSDC,442,nan
BCHABCTUSD,443,nan
BCHABCPAX,444,nan
BCHABCUSDC,445,nan
BCHSVTUSD,446,nan
BCHSVPAX,447,nan
