1635724800,0.069941,0.003131,0.008561,0.000729,0.00371
1635768000,0.069812,0.003103,0.008603,0.000725,0.00408
1635811200,0.070922,0.003245,0.009051,0.000743,0.003903
1635854400,0.070143,0.003183,0.008648,0.000729,0.00383
1635897600,0.0726,0.003178,0.008769,0.000734,0.003694
1635940800,0.07253,0.003248,0.008751,0.00074,0.003491
1635984000,0.073184,0.003294,0.009037,0.000747,0.003541
1636027200,0.073384,0.003283,0.009064,0.000757,0.003495
1636070400,0.073822,0.003301,0.009101,0.000756,0.003506
1636113600,0.073016,0.003256,0.009929,0.000743,0.00346
1636156800,0.073411,0.003263,0.009964,0.000741,0.003535
1636200000,0.072436,0.003206,0.010011,0.000718,0.003744
1636243200,0.073495,0.003213,0.010373,0.000732,0.003721
1636286400,0.074196,0.003213,0.010707,0.00073,0.003579
